"id","body","segment"
23,"""With Boomers turning 71 this year, investors for the first time ever must start taking withdrawals from traditional retirement accounts.  The buy & hold mantra that was their friend in the past could become their foe in the future.   We should be about the business of getting investors fully prepared in advance for the good, the bad, and the unforeseen.""",1
24,"""unbiased reports""",3
1044,"""Insights that are unique.""",3
1051,"""Simplified information""",4
1054,"""the environment their offering thrives in and the economic conditions causing stress to their offering""",4
1059,"""Taylored information that is specific to my practice.""",1
1065,"""Simple talking points weekly on market performance, projections, and recommendations.""",2
1068,"""Portfolio management.""",3
1069,"""Help with internal office organization / business growth""",3
1075,"""I use different websites for different information, and get most of what I need.  Sometimes would like more in-depth coverage of earnings; sometimes transcripts help, sometimes not so much.  Ditto re MD&A in certain 10ks.""",2
1076,"""Turnkey platforms with maximum simplicity.""",4
1078,"""Need more efficient reporting of fund performance attribution and discussion via manager commentary. Some fund families are better than others.""",1
1085,"""Forward thinking allocations""",3
1086,"""better communication on changes within portfolios and plans to stay ahead of volatility""",3
1087,"""More market updates and information.""",4
1090,"""Better compliance approved reference materials and sales aids.  Better portfolio construction and analytical software.""",1
1092,"""More long term data""",4
1094,"""client relatable information.""",4
1104,"""Updates on the ever changing fee landscape to stay competitive""",1
1112,"""Better tax insights into respective strategies""",2
1123,"""Morningstar is critical to my business for analyzing client portfolios, analyzing individual holdings and bringing industry news from a single source.""",4
1128,"""More current market analysis.""",1
1135,"""truth""",2
1136,"""general market news""",2
1140,"""I have sufficient information""",3
1141,"""nothing in particular""",4
1146,"""less sales ideas - need more on global movement of capital and those impacts""",4
1147,"""daily news that affect portfolios allocation""",3
1148,"""logical explanations for things that don't make sense""",1
1149,"""up to the minute truthful news""",2
1151,"""Up to date report""",4
1158,"""More accurate political news""",1
1159,"""I think I'm getting what I need.""",4
1160,"""Better information""",1
1163,"""None that I can think of.""",1
1164,"""Market updates""",1
1168,"""I'd like to be plugged into the Research Departments of the major member firms.""",2
1169,"""Not a lot""",2
1170,"""the truth""",1
1177,"""wsj""",4
1178,"""Financial planning news.""",1
1179,"""I have more information than I can process in one day.""",2
1180,"""Better info on CEFs, including charts of Z-Scores versus historical Z-Scores.""",3
1184,"""economic trends, news affecting industry""",3
1186,"""Wider range of products""",3
1190,"""Most do a good job of keeping updated portfolio manager thoughts and reasoning for fund positioning.""",1
1192,"""WSJ, NYT and Bloomberg LP""",3
1194,"""I'm getting everything I need now""",4
1198,"""cnbc""",2
1199,"""Building overall asset allocation""",1
1203,"""I AM FINE""",1
1204,"""More timely and accurate information. Too much opinions and not enough facts""",3
1205,"""Happy with my own research.""",4
1207,"""I don't need anything else""",3
1208,"""Unbiased opinions""",3
1212,"""Non biased facts""",4
1213,"""Transparency""",2
1217,"""nothing specific""",3
1223,"""Technical analysis""",1
1227,"""Can't think of anything""",4
1230,"""trends in the financial markets in a timely fashion""",4
1238,"""I need better returns from the mutual fund managers to legitimize the advisor fees and to keep pace with benchmarks.""",3
1239,"""CRM""",3
1241,"""In depth company information to invest in""",3
1243,"""I don't feel any need for improvement.""",3
1245,"""Video content""",3
1250,"""more top down investment thoughts""",1
1251,"""updates monthly or quarterly""",2
1252,"""I seem to have all I need""",2
1253,"""Unbiased reporting""",3
1255,"""transparency""",1
1256,"""I receive all I need from them""",1
1257,"""faster connection speeds""",1
1258,"""Market commentary that is relevant to the client experience""",2
1289,"""more than enough""",2
1298,"""unbiased information""",1
1317,"""Time series data for analytics""",1
1323,"""Not a lot.  Most asset managers are pretty happy to meet and talk whenever needed.""",4
1325,"""leads""",1
1330,"""online access""",4
1333,"""unbiased and streamlined information""",3
1336,"""Macro economic advice""",2
1337,"""More focus on long-term issues""",2
1339,"""Reduced burden of DOL rule changes""",3
1340,"""happy WITH THE PRESENT INFO""",4
1342,"""I don't rely on info/services from asset managers.""",3
1343,"""offshore, NRA client information (available investments, taxation, compliance, etc)""",1
1345,"""good help""",4
1346,"""Clarity""",1
1347,"""Market commentary, economic outlook""",3
1353,"""Integration of different asset classes.""",4
1354,"""fund comparisons, historical market data""",2
1357,"""Insight to long term trends in sectors""",1
1358,"""Nothing - receiving good information""",3
1359,"""Market up to date info""",3
1361,"""email""",3
1365,"""Objective news.""",1
1376,"""Nothing at this time""",1
1379,"""Unbiased information that is client oriented.""",1
1381,"""Don't know""",4
1382,"""none - i have everything i need""",3
1384,"""Big picture themes and trends. Also, tools to make it easier to explain/share insights with clients. Most financial information coming from asset managers today is VERY technical and that's OK for professionals but not for clients.""",3
1387,"""well written articles on investment philosophy""",3
1394,"""if they could read a crystal ball that would be wonderful""",3
1397,"""Asset inflows and outflows.  Also how at risk the different firms would be if there were \""a run on the bank\"" with the fund.""",4
1398,"""Timely information and more accessibility and availability of managers""",4
1403,"""more economic data""",1
1405,"""Volume of information too much. Need to quickly filter info.""",4
1406,"""I'm okay""",2
1411,"""visibility into the future""",4
1420,"""ALL IS WELL""",1
1421,"""We rarely get information updates from asset managers we worth with, so we could stand to see broad improvement there.""",3
1422,"""Easier access to a greater range of sources""",1
1423,"""more concise and focused reports, less political bias""",1
1430,"""none...there's already too much out there""",1
1433,"""Proactive market/economic insight non-related to a sales idea.  Too often they are spinning news to sell their product.""",3
1437,"""bbc""",4
1439,"""integration relationships among companies that are in client portfolios""",3
1440,"""Historical Forward P/E ratios""",3
1441,"""Unbiased information;""",3
1443,"""More real-time information flow like briefing.com.""",2
1446,"""simplified explanation of strategy""",3
1447,"""Market Education""",4
1451,"""Financial Times""",3
1457,"""getting what I need""",1
1476,"""Objective news reporting versus lots of coverage about predictions and forecasts""",3
1487,"""Up to date info""",2
1492,"""Asset managers communicate wonderfully when they have a good performance story to tell, and poorly when they don't""",2
1497,"""Probably none.  It's all out there if you look hard enough to find it""",3
1498,"""more industry analytics and behavioral analytics""",4
1501,"""Diverse sources with diverse delivery""",4
1502,"""Timely market updates""",4
1508,"""nothing I am happy with the information I receive""",4
1509,"""foreign markets""",3
1512,"""nothing I can think of""",4
1513,"""online support, access I can use with out them""",3
1514,"""Demographics""",4
1515,"""More information that I can tailor either to specific clients or to specific life events or stages""",3
1516,"""Market conditions, how the economy and politic affect it.""",4
1517,"""Access to bloomberg""",4
1524,"""I could use regular updates and detailed information for things to watch out for in the market.""",2
1533,"""Bloomberg, Valueline & Morningstar""",1
1562,"""nothing; they do a great job""",2
1566,"""fine with what i get""",2
1568,"""Unbiased news reports, unique market perspective""",1
1578,"""Big picture commentary.""",1
1579,"""More demographic information would be helpful.""",4
1580,"""more specifics""",2
1581,"""investment ideas""",4
1582,"""Performance reporting""",3
1584,"""unsure""",4
1585,"""nothing comes to mind.""",1
1586,"""Better specifics on Strategy""",2
1588,"""Lower cost TAMPS""",4
1590,"""Technical""",4
1595,"""I get all the information I need from my research team, who obtain them from multiple sources.  We have what we need.""",1
1596,"""Timely topics on what's going on and how it relates to the markets""",4
1599,"""government direction pertaining to retirement issues""",3
1601,"""Accurate and timely information that is not an opinion""",4
1602,"""more unbiased coverage of political events""",3
1604,"""Asset allocation""",3
1606,"""some don't provide great commentary on what they are doing.""",2
1608,"""More consistent market commentary as it relates to their management style and portfolio""",3
1612,"""Moed news sources.""",3
1613,"""Standardized Informattion""",2
1615,"""Current analysis and interpretation.""",4
1616,"""Marketing concepts""",4
1618,"""Education""",1
1625,"""more on client acquisition and retention""",3
1630,"""Accurate research information""",3
1631,"""daily updates for positions I hold with them...updates on performance, mgmt., volume, etc.""",4
1632,"""Good research on companies.""",3
1640,"""Historic P/B, price & P/B download using API.""",3
1642,"""unbiased assessments of investments and portfolios""",2
1643,"""Better, cheaper, and more consistent access to financial data, particularly fixed income indices and data (performance, attributes, historical prices)""",2
1646,"""Not sure, I feel we have a lot at our disposal and serve our clients well.""",1
1651,"""Better projections of how automatization is going to impact the US employment market.""",1
1653,"""More client facing pieces""",2
1654,"""Valid trends""",2
1655,"""Financial planning services""",4
1659,"""Better ways to service my clients while not taking an overwhelming amount of time""",4
1661,"""Uncertain""",4
1665,"""I like unbiased information to help me direct my allocations for my clients portfolios""",3
1670,"""Current political and social balances""",1
1673,"""Multiple sources and viewpoints. I find that fewer wholesalers understand the market""",3
1684,"""regulatory changes""",1
1687,"""Accurate \""whisper\"" numbers""",3
1688,"""Regulation information""",2
1690,"""Clear precise information""",1
1692,"""Brief summaries""",3
1693,"""turnover""",2
1695,"""More independent research rather than hearing from the fund companies about their own stuff""",1
1697,"""I'm not sure.  I feel that the asset manager companies that we work with and who calls on us do provide good information.  With that, I make my own decisions on what to add to client portfolios.""",4
1698,"""easy to digest market information""",3
1701,"""Bloomberg desktop""",1
1706,"""Relevance of current events""",4
1709,"""Better comparisons with other asset managers""",4
1714,"""typically avoid asset managers""",3
1718,"""I'm fine""",3
1719,"""webinars""",4
1721,"""Consolidated information and interpretation that I trust to be accurate""",2
1725,"""Sentiment of clients and the things they are looking for. Want to answer question they have based on what they hear outside of the office.""",4
1726,"""Constant unbiased education on new concepts in wealth management.""",4
1732,"""In house expertise.""",4
1735,"""International markets""",1
1736,"""HAVE ADEQUATE INFO/SERVICES""",4
1742,"""In-depth coverage insights into market / investing.""",4
1774,"""non bias reporting""",1
1779,"""economic updates/direction""",1
1783,"""unbiased news""",3
1787,"""We are asset managers and do not outsource that for clients""",2
1792,"""I am getting what I need at this time""",4
1798,"""More ways to attract new clients..""",4
1806,"""I don't always need to know what everyone is doing...more about what they are not and what they are missing to help find where to go next, not where everyone already is""",4
1807,"""Instant updates to recommendations or asset allocations""",2
1813,"""nothing else needed from asset managers""",3
1816,"""Access to more information or Commentary outside of just their website""",4
1819,"""None that I can think of.""",1
1821,"""Market rotations""",2
1823,"""more markets direction""",2
1826,"""Trust that information is accurate and non biased""",3
1827,"""Short brief updates""",3
1828,"""I have more than I can handle at this point""",1
1829,"""general knowledge""",1
1832,"""unbiased story/information/trends/stats""",3
1834,"""allocation and direction of markets going forward""",3
1860,"""app with unique information would be great""",3
1863,"""Client friendly fact sheets.""",4
1871,"""idk""",4
1876,"""No additional information needed""",2
1883,"""More unique & articulate views which challenge my strongly held beliefs""",2
1896,"""better ways to cull internet data""",2
1898,"""social media""",3
1899,"""pens""",1
1900,"""geo political news in relation to market movement""",2
1903,"""Nothing really, there is already to much information.""",3
1904,"""MArket Outlook more frequently""",3
1907,"""Original Ideas""",4
1909,"""Ability to compare different asset managers""",2
1912,"""email updates regarding funds I specifically work with""",4
1914,"""More statistical analysis""",4
1917,"""Better services such as Fly on the wall or such targeted sources or Briefing.com.""",2
1920,"""ATTAINMENT""",1
1927,"""Market commentary more often""",4
1928,"""Average price to earning rations, and correlation to appropriate indices""",3
1930,"""YTM and TYW calculations on their bond funds in real time. Detailed default/impairment data on same funds.""",3
1931,"""Data aggregation and use of AI to better serve demographics""",2
1932,"""What they plan on doing in the future""",3
1934,"""Some consolidation of news specific to my practice.  A tall feet I know but would create huge efficiencies for my practice.""",1
1935,"""Nothing. We're in a digital world of information. If I want to find it I can at my fingertips""",3
1941,"""more information - plans for the future""",4
1942,"""none that I can think of""",4
1944,"""I have enough information sources.""",1
1945,"""All""",3
1947,"""not certain""",3
1948,"""I work very closely my managers and am in constant contact with conference calls, direct access to the portfolio managers and annual meetings. I am happy with these long term relationships and do not envision any changes.""",2
1949,"""Access to the portfolio managers""",4
1954,"""Specific understanding of individual industries, ie. AI.""",4
1957,"""I need someone willing to help me build relationships with clients. Maybe that's giving me some social media ideas to put out there or help me fund a client gathering. In order to use a new fund, I need a compelling story of why that theme is the place to be right now or some way they have shown consistency of process and returns over long periods.""",1
1960,"""Just report the facts. Too much opinion.""",4
1961,"""I need to get a better understanding of what  is concerning my clients. What keeps them up at night.""",4
1963,"""deeper coverage""",4
1965,"""company specific stories""",3
1967,"""More due diligence meetings""",4
1968,"""More information about undervalued asset classes and more tactical 12-36 month asset allocation strategies.""",3
1969,"""nothing I can think of""",4
1974,"""Direct news from the manager Direct back office/operations support""",1
1978,"""More personal interaction""",3
1979,"""Nothing in particular""",1
1981,"""transparency""",1
1983,"""I get great info from SEI""",3
1985,"""I would like more details and easy access to ALL The fees that a fund has.""",4
1987,"""Incsome planning""",4
1991,"""How to mange your business more effectively""",4
1995,"""macro rationale""",1
2001,"""asset managers are generally always bullish to help sell product.  I prefer more unbiased opinion that is product neutral""",3
2002,"""Clear projections on where the various markets are susceptible to risk and/or opportunity.""",4
2008,"""Industry related peer best practices""",1
2010,"""Nothing comes to mind""",1
2012,"""Unique ways to manage and grow an RIA business.""",3
2013,"""market inside news, not just headlines.""",1
2016,"""N. A.""",4
2017,"""regular, perhaps monthly, newsletters""",3
2019,"""How to link investment strategies to planning topics and complexities for clients to create stories.""",3
2020,"""Information is available if one is inclined to look for it""",4
2025,"""A great real time news feed - we have Tradestation but that isn't enough.""",2
2026,"""less info""",2
2030,"""None that occurs to me, other than a crystal ball.""",2
2031,"""updates and whne to lighten psoitions""",4
2032,"""I have all the sources I need.""",2
2033,"""ipo's""",4
2035,"""Economic policy information that could impact earnings, equity markets and/or bond markets.""",1
2039,"""more market commentary and outlook""",4
2040,"""Internet""",2
2041,"""how to integrate products for the best total package for our clients""",4
2049,"""I feel like I sometimes have TOOOOO much information- it's almost overwhelming how much we have to process that I have to actually turn it off""",2
2054,"""Importance of the advisor involvement""",3
2058,"""nothing in particular""",1
2062,"""More accessibility""",4
2073,"""not""",4
2079,"""what to own based upon where the market conditions dictate currently""",3
2082,"""Less technical, more eduational""",4
2084,"""unbiased continuing market narrative in context.""",1
2103,"""Portfolio review and maintenance""",1
2108,"""Fox  news and outside research...""",4
2109,"""more meetings with different fund managers""",4
2115,"""Simpler tools to help educate my clients on how much and where they should be saving.""",3
2117,"""More and more technology enhancements.  More applications done over the phone and via the website.""",3
2121,"""More succinct updates""",2
2125,"""better electronic delivery""",2
2128,"""We are well covered and receive all needed information""",2
2129,"""Up to dat""",1
2130,"""cnbc""",4
2132,"""Asset managers need to improve their trade execution quality. It seems that asset managers and hedge funds have forgotten the extremely high importance of trade execution quality.""",2
2138,"""I feel my parent company is doing a great job of providing us with third party information and other tools we need to be great asset managers.""",2
2143,"""Ease of access.""",3
2144,"""default rates on municipal and corporate bonds""",1
2146,"""Market updates.""",4
2155,"""better raw data""",2
2178,"""More analysis""",2
2185,"""more direct information from managers""",3
2186,"""More specifics about what is going on at the portfolio leve""",4
2203,"""BECAUSE""",4
2207,"""More timely independent market assessments""",2
2213,"""tactical guidance for current market conditions""",1
2220,"""unique info""",1
2221,"""Better Asian coverage""",2
2222,"""better reporting on website-distribution and capital gains information""",2
2225,"""More reliable information""",1
2228,"""non biased  statistically relevant economic and socionomic statistics""",4
2231,"""More timely ways to implement the strategies discussed.""",3
2232,"""More succinct and less waste of time filtering""",4
2233,"""robo platforms""",3
2234,"""leading indicators analysis""",4
2235,"""brief explanations on what changes they are making with regards to changing long/intermediate-term outlook""",2
2242,"""Transparency and more frequent communication""",3
2247,"""Objective research""",3
2248,"""The firms that manage assets will generally slant their reporting to highlight their positives. I prefer the outside sources as mentioned earlier as they provide more unbiased reporting.""",4
2249,"""Industry trends and best ideas regarding asset allocation and passive versus active management.""",2
2250,"""Up to date access to performance and ranking information. As well as articles on how clients use their assets.""",1
2252,"""Portfolio Construction Proposal Assists Client Acquisition/Review Assists""",3
2254,"""Forward looking market analysis""",4
2255,"""Ease of technology to access information.   Short concise information.  I like it when White Papers are summarized.  It is is a new article.    Have titles with bullets- then the commentary.  I fee there is TOO much information.  Too much noise.   Now more than ever it is important to have an opinion and just listen and think.  Do not get distracted from all of the noise and all of the opinions looking to sway brokers or their clients one way or the other.   Example.  with the news, one would think the DOL is All good for clients.  Our clients will pay approx .25 basis points more for the same work!  Thus what clients are hearing in the news is NOT necessarily true!""",4
2259,"""High level and to the point market commentary""",2
2266,"""I do that myself.  I construct my client portfolios. Rarely use asset managers.""",3
2269,"""None.  I don't want to be biased based on info or services that I receive from an asset manager.""",1
2287,"""Unbiased viws""",1
2289,"""Ideas/suggestions that do not follow the heard.""",3
